index	sim_time	step_time	success	C01	C12	D01	D12	H01	H12	state_r0	state_r1	state_r2	speed_r0	speed_r1	speed_r2	actuation_r0	actuation_r1	actuation_r2	
516	965.701142	2.465609	True	1.4037493954895819	2.7233875823803197	0.19196600497347208	0.2289477717402978	0.026021641254069854	0.07371858976300166	[-0.6222843334429048, 0.004393268989933342, 2.983251154722452, 0.0015411900623925798, 0.0004615926621890999, -0.001352631293859002]	[1.0509247986982546, -0.026264212644524713, 0.8269231375567497, -0.0013816595217179838, -3.626393530137453e-05, -0.00028109468319867555]	[2.269268038495411, 0.1031941644112705, -1.512448984364941, 0.0007781498379764773, 0.0010403075772084974, -1.8840908509078802e-05]	[-0.7490888740786119, 0.00102854996504656, -0.20172458745353433, 0.012148310646048774, -0.004173079836707233, 0.008474360089280982]	[0.3731870191922244, 0.09482016215611061, 0.5995201297599559, 0.007175401951029185, 0.009534058135005146, -0.001345238837776902]	[0.019842101242997415, 0.906754867459066, 0.3811132619005263, 0.0008650873848813407, -0.0010861140691467651, -0.002652721446680197]	[-5.867035074376825, -8.056169537329426, 7.891845232927091, -0.0017850952759760985, 0.003694430444207549, 0.006563203370729612]	[35.23951982613809, -109.25186774488108, 44.89304222767053, 0.0026831235611349275, -0.0019241727616996804, -0.000146189857355753]	[-6.911294818243812, 40.517504102851944, 92.03961017910733, -0.0018514480978903166, -0.005025430103839475, -0.00011840958987839522]	
517	969.535432	3.828961	True	1.3854731865699272	2.732441197768652	0.19318063369870675	0.2282853461060632	0.026006763151213908	0.07353826894930125	[-0.6297845098118832, 0.00440940032373779, 2.981176302423562, 0.0016609951924896342, 0.00042045117805291634, -0.0012658692649862439]	[1.0547297563380806, -0.02579730032242897, 0.8330634895530111, -0.0013079828757896724, 5.854139385547977e-05, -0.00029470017255678137]	[2.269427526918753, 0.11239880670522283, -1.5082323697584283, 0.0007856039654609412, 0.001027131548183836, -4.541852681107184e-05]	[-0.7507673597001898, -0.0004339768430259151, -0.21391780139290356, 0.011801820199675942, -0.004026274883934752, 0.008891499634563363]	[0.38777218179443507, -0.0029584684424908483, 0.6287069520420047, 0.00755839535109914, 0.009428203732989386, -0.0013503537167333054]	[0.01111928584272218, 0.9348590044806848, 0.4608619901476536, 0.0006308778608664213, -0.0015532592318466619, -0.0026607420937630926]	[1.0887819108215577, -1.6722535199495958, -5.7607158670925624, -0.0025389018325545623, 0.003694058808194547, 0.006066438280091935]	[15.239540901721163, -112.74105425064164, 37.56878772819512, 0.002383821281456072, -0.002330490783842859, 1.2507545567477134e-05]	[-10.10106526906728, 26.598036384161162, 96.71547060610499, -0.0019227519856883858, -0.004900084298665962, 5.7640665892526554e-05]	
518	975.512067	5.970676	True	1.3677443595697898	2.7423887280990145	0.19474170502327603	0.22792742289921286	0.026089092784576013	0.07358454048073831	[-0.6372996676274725, 0.004410283077530013, 2.9789792975560956, 0.0017770168138102557, 0.00038079764380291695, -0.0011751018307834672]	[1.0585940779728047, -0.026326224842787734, 0.839465410954331, -0.0012306242658602674, 0.00015209238200547182, -0.0003083018474760678]	[2.2694927679935417, 0.1217975116403292, -1.5032525424130456, 0.000790687329178416, 0.0010093295408676567, -7.202337698010308e-05]	[-0.7520881159391659, -0.0019826289428635595, -0.22609069510459937, 0.011392037279403307, -0.003872097073639523, 0.00927587185833632]	[0.38498734098356113, -0.10431015515718794, 0.6516422554470926, 0.007911937374613483, 0.009282988260727952, -0.0013462197486330694]	[0.0007981568804658744, 0.945677099346111, 0.5336886404907781, 0.00039091289984218903, -0.0020112247279668112, -0.0026574138850103414]	[1.5065048974731154, -1.7610854826029052, -5.674240631784773, -0.0032419917631573867, 0.0037045202740465925, 0.005514107387762327]	[-4.760438022695766, -116.2302407564022, 30.24453322871971, 0.0020681176039671085, -0.002725374110688736, 0.00016052366639549058]	[-11.900642864807109, 6.598036384161162, 88.35989740546131, -0.001983184475620715, -0.004758018430276239, 0.00023938688424101964]	
519	977.731390	2.210740	True	1.350907575169039	2.7524034533230397	0.1967058479744431	0.22783990985675454	0.026289616969868597	0.07381217961835494	[-0.6448262233547719, 0.004395045217989477, 2.976660344469365, 0.001888088879594173, 0.00034211718219465586, -0.0010805266184880837]	[1.0623449402046006, -0.027861967207274876, 0.8460568541807116, -0.0011503797231908748, 0.00024411188853507763, -0.0003220255635871589]	[2.269447627200085, 0.13121701587952544, -1.4975790236644402, 0.0007934799227167543, 0.0009871952678337935, -9.86910003659e-05]	[-0.7530516179901661, -0.0036160569900055943, -0.23824355150158355, 0.010812342955191134, -0.003828304515329867, 0.009653592740923783]	[0.36500894252049926, -0.20426155703324722, 0.6664408643485517, 0.008135672947408098, 0.00912174998675558, -0.0013766281857373653]	[-0.01112692476117462, 0.939115418560301, 0.599561963118035, 0.0001727029471596567, -0.0024195984623995755, -0.002672610106251309]	[1.9222311704279917, -1.8478649241159444, -5.588195331677183, -0.005653090662362453, 0.0018376436244029657, 0.005381012500321483]	[-24.487848391983576, -113.99328970386368, 20.78958849182965, 0.000160387110960796, -0.0027482954204080578, -0.00039123609202605826]	[-13.700220460546937, -13.401963615838838, 80.00432420481764, -0.0016096579730163257, -0.003982246015795283, -5.65890879873574e-05]	
520	978.680265	0.943745	True	1.3352698997385082	2.7617102611912534	0.19911797907367632	0.2279970336075768	0.02662667101467314	0.07418366212807517	[-0.6523605999101271, 0.004362823391696094, 2.9742196317507417, 0.0019898993275821934, 0.00030098979895342316, -0.0009804750202343326]	[1.0658106132244143, -0.030388037105027844, 0.8527554157023797, -0.001067292696968647, 0.0003356389454108499, -0.0003373451798836538]	[2.2692759068222776, 0.140483119330846, -1.491281647058787, 0.0007956866880718926, 0.0009627686279526605, -0.00012738884963210386]	[-0.7536594985223563, -0.00533183990449548, -0.2503768126147955, 0.009539835751459448, -0.004357681204951885, 0.010373179774191457]	[0.3278823162315935, -0.3022983319714607, 0.672917056698905, 0.008480799378060795, 0.00918480244627707, -0.0016672028525110522]	[-0.024661612096440428, 0.9150797161026442, 0.6584505671506102, 0.0002742636188565518, -0.0024697141368634347, -0.0030633587279302]	[2.3346459405765185, -1.9313882497353705, -5.502761026190352, -0.01641643529137197, -0.0074107032513071975, 0.010812473858989778]	[-44.09392199941054, -111.17513409466146, 11.163692053893774, 0.0022784865180373905, 0.0010636068528988305, -0.004542667997859101]	[-15.499798056286766, -33.40196361583884, 71.64875100417396, 0.00351612392931928, 0.0017093511279146012, -0.006051229010045838]	
521	980.479616	1.793963	True	1.3210937514048469	2.769626485685961	0.20201011466192284	0.22838075909246333	0.02711602034902756	0.07466930749259122	[-0.6598992309654481, 0.004312750982935806, 2.9716573128277015, 0.0020787824106979417, 0.0002546566147729846, -0.0008731983709896271]	[1.068827199276615, -0.03386392109080374, 0.8594729822578625, -0.000981077920195589, 0.000427769408293139, -0.000355539633737409]	[2.268961376450823, 0.14942066777016713, -1.4844305435256593, 0.0007991472009646151, 0.0009381812869370467, -0.0001601390819773367]	[-0.7539144489566777, -0.0071267681703325245, -0.2624912442376887, 0.008227638245521134, -0.004864466008602219, 0.01110150500935675]	[0.27513233504360785, -0.39412881465621674, 0.6701122693668139, 0.008761598745306125, 0.0092427433661808, -0.001953018947839458]	[-0.039811561801149226, 0.8734752207518006, 0.7103229200233955, 0.0004240855100304596, -0.002452347777171879, -0.003483068095412389]	[2.7425688991664328, -2.0108019684298033, -5.418306818838138, -0.016732093728714446, -0.007117960105311288, 0.01090160838296611]	[-61.88035697496141, -103.44678484048124, 0.48103886165215215, 0.0014306325810026657, 0.0011979859073645398, -0.004446357056616498]	[-17.299375652026594, -53.40196361583884, 63.29317780353028, 0.0042862094640230275, 0.0027312600070252416, -0.006486235652391418]	
522	982.261392	1.773837	True	1.3085811629845208	2.775633047882989	0.20539235257905558	0.22898397738191062	0.027768475712390155	0.0752511264124683	[-0.6674385806956308, 0.004243987727831921, 2.9689735297152207, 0.002154105956796918, 0.00020347977978672739, -0.0007584717858289112]	[1.0712461333162147, -0.03821288993797709, 0.8661145564505699, -0.0008929135047076388, 0.0005208287241096742, -0.00037686511922044986]	[2.268487747669417, 0.15785355329860115, -1.4770961562158438, 0.0008042468578343345, 0.0009142050305207505, -0.00019686255910909877]	[-0.7538207044508183, -0.00899626714465209, -0.2745874680135755, 0.006828910180165143, -0.00532133303091262, 0.01186599766099527]	[0.2083043349215119, -0.47680749320838317, 0.657607280542369, 0.008871188165753479, 0.009370870575594756, -0.0022948860305276415]	[-0.0565824429389377, 0.8142066416493988, 0.7551473468292236, 0.0006026490224524261, -0.002348114095127262, -0.0038580517155000172]	[3.144243913836775, -2.08457164967763, -5.334663298466378, -0.017824469771116454, -0.00640265402795793, 0.011428039343535985]	[-77.82981055729564, -92.37883346271134, -10.634559064657262, -0.0011127986999661425, 0.0025365424846953517, -0.005321205373631718]	[-19.098953247766424, -73.40196361583884, 54.937604602886594, 0.004744795859541524, 0.004058432893763283, -0.005742808298058045]	
523	984.488598	2.221860	True	1.2978805799455655	2.779390737836756	0.20925513430467377	0.2298083095069112	0.02859070163323843	0.07592174840152749	[-0.674975170519193, 0.004155746720644498, 2.9661684208687564, 0.00221546278995166, 0.000147947965493997, -0.0006366152650763483]	[1.0729364181036751, -0.04332991732856552, 0.8725824666562965, -0.0008038509727075016, 0.000614876897851666, -0.0004013808682597098]	[2.267838658406625, 0.1656047132693088, -1.4693492498266525, 0.0008109834926679691, 0.0008912651206829658, -0.00023706502498812296]	[-0.7533857329918022, -0.010933022289848692, -0.28666649708893605, 0.005435622464255476, -0.005730632442586855, 0.012530014144495966]	[0.12937066563343236, -0.547628355719652, 0.6352811257643475, 0.008941932148025808, 0.009440612946283226, -0.0025925204219806033]	[-0.07497994016459822, 0.7371781697383515, 0.7928920296693657, 0.0007518748490889703, -0.002245711284157174, -0.004178964928264296]	[3.535973577042037, -2.1495879476123454, -5.2522764328962, -0.01747568572692826, -0.005739397476776109, 0.009770420269326965]	[-91.4583071118894, -78.26429128139323, -21.838706127492728, -0.0015278890702886138, 0.0018201027910522563, -0.00459109863340116]	[-20.898530843506254, -93.40196361583884, 46.58203140224291, 0.0042781802051788005, 0.003965610077572164, -0.004853324011792091]	
524	986.943221	2.449114	True	1.2890698130943508	2.7808063514564494	0.2135641209553516	0.23086403417961268	0.029583136232063167	0.07668643992972828	[-0.682505601993783, 0.004047322322810326, 2.963242118956245, 0.002262911261451318, 8.849691075838811e-05, -0.0005085859259820328]	[1.073795930239484, -0.049078141354054444, 0.8787800862197073, -0.0007142464779337249, 0.0007093750461175621, -0.00042870242841222707]	[2.266997664774752, 0.17249612853452412, -1.4612609169423647, 0.0008191893387029942, 0.0008692415762024423, -0.0002804336911356557]	[-0.7526182806860741, -0.012928443749905386, -0.29872946365926506, 0.004048845394652975, -0.006100962122895022, 0.013102847989876277]	[0.04213780821094376, -0.6029365181880397, 0.6034592365049658, 0.008980377125500035, 0.009460807717301475, -0.0028576361144171097]	[-0.09500975748937372, 0.6422934773212113, 0.8235250070024864, 0.0008968282559097477, -0.002165456344814091, -0.004491400305807916]	[3.9163173610508895, -2.204434415851628, -5.171277556022119, -0.017143647449582425, -0.005226648321535109, 0.008268205970798206]	[-100.66823533018804, -60.0317394207345, -32.618575711229525, -0.0018340309670814288, 0.0012505462096415064, -0.004051102366285009]	[-22.698108439246084, -113.40196361583884, 38.22645820159923, 0.004217463331649528, 0.0035509379021834197, -0.004695511231236115]	
525	987.288900	0.340112	True	1.2821884024234855	2.779975136487173	0.21826916693854778	0.23216711903624176	0.030742514106822914	0.07755974200419902	[-0.6900265141601808, 0.003918054193704265, 2.9601947559169823, 0.002296514930866479, 2.5553109388675632e-05, -0.00037521294654477836]	[1.0737414297195045, -0.055301952458213004, 0.884612243898309, -0.0006244204694494021, 0.0008038091482787869, -0.0004585266120735507]	[2.2659482376605657, 0.17834881904278524, -1.452902580526699, 0.0008287385466006549, 0.0008479967622856378, -0.00032675547788280665]	[-0.7515172418064732, -0.014982729486783503, -0.3107762998091033, 0.0026685191356224493, -0.006425584788178801, 0.013600756571727173]	[-0.053423370377602114, -0.6426478522158173, 0.5620987443032667, 0.008987100926708983, 0.009427612674822153, -0.003094728277996651]	[-0.11667761994780894, 0.5294557149840057, 0.8470141729949865, 0.0010208179953410449, -0.002090552318588257, -0.004769652947342432]	[4.2966172755302745, -2.259242723774751, -5.090283771386503, -0.016846323903943698, -0.004617974370623841, 0.00703192385719064]	[-109.87816354848668, -41.79918756007578, -43.39844529496632, -0.002127771599638428, 0.000623588175633267, -0.0035851479144184814]	[-24.497686034985914, -133.40196361583884, 29.870885000955546, 0.0038939778640068546, 0.0034079806343465437, -0.004127912502037743]	
