frame 51/600	0.331s	[3.736, -0.002, -7.585]	[1.599, 1.347, 0.877, 0.5, 1.095, 0.5, 4.238, 0.365, 0.365]	saved figure 50.png
frame 52/600	0.360s	[3.736, -0.002, -7.585]	[1.614, 1.343, 0.893, 0.5, 1.133, 0.5, 4.401, 0.373, 0.373]	saved figure 51.png
frame 53/600	0.351s	[3.736, -0.002, -7.585]	[1.629, 1.339, 0.908, 0.5, 1.174, 0.5, 4.558, 0.381, 0.381]	saved figure 52.png
frame 54/600	0.281s	[3.736, -0.002, -7.585]	[1.644, 1.335, 0.924, 0.5, 1.216, 0.5, 4.708, 0.389, 0.389]	saved figure 53.png
frame 55/600	0.413s	[3.736, -0.002, -7.585]	[1.66, 1.332, 0.94, 0.5, 1.259, 0.5, 4.852, 0.397, 0.397]	saved figure 54.png
frame 56/600	0.291s	[3.736, -0.002, -7.585]	[1.677, 1.328, 0.957, 0.5, 1.305, 0.5, 4.99, 0.405, 0.405]	saved figure 55.png
frame 57/600	0.284s	[3.736, -0.002, -7.585]	[1.694, 1.324, 0.973, 0.5, 1.352, 0.5, 5.121, 0.413, 0.413]	saved figure 56.png
frame 58/600	0.541s	[3.736, -0.002, -7.585]	[1.712, 1.319, 0.99, 0.5, 1.401, 0.5, 5.245, 0.421, 0.421]	saved figure 57.png
frame 59/600	0.398s	[3.736, -0.002, -7.585]	[1.73, 1.315, 1.006, 0.5, 1.451, 0.5, 5.363, 0.429, 0.429]	saved figure 58.png
frame 60/600	0.302s	[3.736, -0.002, -7.585]	[1.749, 1.311, 1.023, 0.5, 1.502, 0.5, 5.475, 0.437, 0.437]	saved figure 59.png
frame 61/600	0.332s	[3.736, -0.002, -7.585]	[1.768, 1.307, 1.04, 0.5, 1.555, 0.5, 5.58, 0.446, 0.446]	saved figure 60.png
frame 62/600	0.472s	[3.736, -0.002, -7.585]	[1.788, 1.302, 1.056, 0.5, 1.61, 0.5, 5.678, 0.454, 0.454]	saved figure 61.png
frame 63/600	0.346s	[3.736, -0.002, -7.585]	[1.807, 1.298, 1.073, 0.5, 1.665, 0.5, 5.77, 0.462, 0.462]	saved figure 62.png
frame 64/600	0.334s	[3.736, -0.002, -7.585]	[1.828, 1.293, 1.089, 0.5, 1.722, 0.5, 5.855, 0.471, 0.471]	saved figure 63.png
frame 65/600	1.886s	[11.371, -0.002, -21.057]	[1.848, 1.288, 1.106, 0.5, 1.779, 0.5, 5.894, 0.444, 0.479]	saved figure 64.png
frame 66/600	2.341s	[19.743, 0.004, -36.163]	[1.869, 1.284, 1.121, 0.5, 1.837, 0.5, 5.883, 0.383, 0.487]	saved figure 65.png
