frame 57/600	215s	0.487s	True	[-10.027, -0.012, 145.281]	[0.002, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 56.png
frame 58/600	217s	0.378s	True	[-6.291, -0.015, 137.696]	[0.002, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 57.png
frame 59/600	219s	0.381s	True	[-2.554, -0.017, 130.111]	[0.002, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 58.png
frame 60/600	220s	0.214s	True	[1.182, -0.019, 122.527]	[0.002, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 59.png
frame 61/600	222s	0.375s	True	[4.918, -0.021, 114.942]	[0.002, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 60.png
frame 62/600	223s	0.290s	True	[8.654, -0.023, 107.357]	[0.003, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 61.png
frame 63/600	228s	0.654s	True	[12.39, -0.025, 99.772]	[0.003, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 62.png
frame 64/600	230s	0.465s	True	[16.126, -0.027, 92.188]	[0.003, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 63.png
frame 65/600	233s	1.841s	True	[27.497, -0.03, 71.131]	[-7.698, -0.0, 13.431]	[0.0, 0.0, 0.0]	saved figure 64.png
frame 66/600	238s	1.241s	True	[47.239, -0.026, 34.968]	[-23.832, 0.001, 41.936]	[0.0, 0.0, 0.0]	saved figure 65.png
frame 67/600	250s	4.201s	True	[-44.998, 0.059, -25.337]	[-51.99, 0.001, 92.052]	[0.0, 0.0, 0.0]	saved figure 66.png
frame 68/600	266s	4.948s	True	[-44.565, 0.049, -14.646]	[-83.149, 0.002, 146.961]	[0.0, 0.0, 0.0]	saved figure 67.png
frame 69/600	280s	0.213s	True	[-44.132, 0.04, -3.955]	[-114.307, 0.003, 201.87]	[0.0, 0.0, 0.0]	saved figure 68.png
frame 70/600	281s	0.347s	True	[-43.699, 0.03, 6.735]	[-145.466, 0.004, 256.779]	[0.0, 0.0, 0.0]	saved figure 69.png
frame 71/600	289s	4.936s	True	[-35.58, 0.037, -53.408]	[-171.657, 0.005, 303.956]	[0.0, 0.0, 0.0]	saved figure 70.png
frame 72/600	298s	3.047s	True	[-32.005, 0.034, -65.366]	[-158.697, 0.005, 288.735]	[0.0, 0.0, 0.0]	saved figure 71.png
frame 73/600	308s	1.071s	True	[-28.429, 0.03, -77.323]	[-144.402, 0.005, 271.337]	[0.0, 0.0, 0.0]	saved figure 72.png
frame 74/600	311s	0.221s	True	[-24.854, 0.027, -89.281]	[-130.107, 0.005, 253.939]	[0.0, 0.0, 0.0]	saved figure 73.png
