frame 34/400	actuation=[-0.38968348 -0.88007365 -3.87438761]+[13.31714939 11.66836944  2.46060882]	state=[0.01955251 0.02209468 0.62208494]+[-0.41583227 -0.38420693  0.54144341]	compute_time=6.121730s	n_f_eval=1375	saved figure 33.png in 20.429265s
frame 35/400	actuation=[ 0.10491851 -0.46072923 -5.67888341]+[14.55270982 13.04295571  0.2661505 ]	state=[0.0174349  0.02007272 0.64953101]+[-0.4285215  -0.39549296  0.57453314]	compute_time=11.963945s	n_f_eval=1400	saved figure 34.png in 23.919412s
frame 36/400	actuation=[ 0.57826635 -0.0567882  -7.42209928]+[15.66302512 14.31238573 -1.91193607]	state=[0.01536296 0.01806682 0.6764558 ]+[-0.44029358 -0.40612452  0.60720779]	compute_time=10.762436s	n_f_eval=1375	saved figure 35.png in 16.399564s
frame 37/400	actuation=[ 1.02549846  0.32942754 -9.0907237 ]+[16.64384129 15.4692334  -4.06000158]	state=[0.01336431 0.01610082 0.70277328]+[-0.45113011 -0.41611234  0.63930587]	compute_time=5.726517s	n_f_eval=1375	saved figure 36.png in 16.217324s
frame 38/400	actuation=[  1.44212784   0.69598648 -10.6724822 ]+[17.49233169 16.50716596 -6.1636611 ]	state=[0.01146424 0.01419673 0.728401  ]+[-0.46102151 -0.4254708   0.67067291]	compute_time=5.745226s	n_f_eval=1375	saved figure 37.png in 16.208044s
frame 39/400	actuation=[  1.82407885   1.04122455 -12.15617225]+[18.20706093 17.4211228  -8.2080466 ]	state=[0.00968557 0.01237467 0.75326078]+[-0.46996624 -0.43421666  0.70116284]	compute_time=6.840663s	n_f_eval=1375	saved figure 38.png in 16.206741s
frame 40/400	actuation=[  2.16863505   1.36347023 -13.53120909]+[ 18.78763269  18.20768246 -10.17828656]	state=[0.0080484  0.01065289 0.77727929]+[-0.47796992 -0.44236784  0.73063908]	compute_time=4.256439s	n_f_eval=1000	saved figure 39.png in 12.287692s
frame 41/400	actuation=[  2.44621927   1.71094851 -14.78940233]+[ 19.23402881  18.85775886 -12.06009715]	state=[0.00657009 0.00904764 0.80038863]+[-0.4850445  -0.44994232  0.75897555]	compute_time=4.898105s	n_f_eval=1150	saved figure 40.png in 13.727687s
frame 42/400	actuation=[  2.65790884   2.05495971 -15.9226127 ]+[ 19.55057039  19.37367342 -13.83794296]	state=[0.00526376 0.00757598 0.82252683]+[-0.49120741 -0.45695757  0.78605756]	compute_time=8.820094s	n_f_eval=1150	saved figure 41.png in 16.356961s
frame 43/400	actuation=[  2.80308654   2.38597696 -16.92570026]+[ 19.74038896  19.75670965 -15.49792958]	state=[0.00413755 0.00625489 0.84363821]+[-0.49648076 -0.46342955  0.81178234]	compute_time=4.733501s	n_f_eval=1125	saved figure 42.png in 13.594874s
frame 44/400	actuation=[  2.88293037   2.69645621 -17.79000721]+[ 19.80674449  20.00939678 -17.02679739]	state=[0.00319554 0.00510009 0.86367379]+[-0.50089058 -0.46937213  0.83605954]	compute_time=7.633779s	n_f_eval=1125	saved figure 43.png in 18.551831s
frame 45/400	actuation=[  2.90087724   2.97924026 -18.51062017]+[ 19.75319015  20.13568789 -18.41235008]	state=[0.00243829 0.00412547 0.88259169]+[-0.50446631 -0.47479658  0.85881153]	compute_time=8.468106s	n_f_eval=1125	saved figure 44.png in 20.984704s
frame 46/400	actuation=[  2.86210608   3.22775699 -19.08550458]+[ 19.58374737  20.14077481 -19.64393462]	state=[0.00186345 0.00334264 0.90035751]+[-0.50724037 -0.47971139  0.87997358]	compute_time=6.243973s	n_f_eval=1125	saved figure 45.png in 19.146033s
